Best: 0.264791 using {'activation': 'sigmoid', 'dropout_rate': 0.2, 'learning_rate': 0.1, 'neurons': 64, 'weight_constraint': 2}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 0}
0.234488 (0.039214) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 1}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 64, 'weight_constraint': 2}
0.170996 (0.055635) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 0}
0.123377 (0.075994) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 1}
0.202742 (0.079673) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 128, 'weight_constraint': 2}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 0}
0.218615 (0.020382) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 1}
0.203463 (0.024742) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.001, 'neurons': 256, 'weight_constraint': 2}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 0}
0.202020 (0.076819) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 1}
0.139971 (0.035405) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 64, 'weight_constraint': 2}
0.141414 (0.040661) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 0}
0.173160 (0.061323) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 1}
0.186147 (0.072524) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 128, 'weight_constraint': 2}
0.186869 (0.034557) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 0}
0.185426 (0.095865) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 1}
0.201299 (0.091338) with: {'activation': 'relu', 'dropout_rate': 0.1, 'learning_rate': 0.01, 'neurons': 256, 'weight_constraint': 2}
